13-a-flip-color,"['corr: 0.886', 'ems: 0.991', 'jaccard: 0.790', 'J_q: 0.669']",36.771102146693714
13-b-flip-color,"['corr: 0.884', 'ems: 0.973', 'jaccard: 0.817', 'J_q: 0.537']",36.771102146693714
13-a-rotated,"['corr: 0.886', 'ems: 0.991', 'jaccard: 0.790', 'J_q: 0.672']",36.771102146693714
13-b-rotated,"['corr: 0.884', 'ems: 0.973', 'jaccard: 0.817', 'J_q: 0.574']",36.771102146693714
13-a,"['corr: 0.886', 'ems: 0.991', 'jaccard: 0.790', 'J_q: 0.654']",36.771102146693714
13-b,"['corr: 0.884', 'ems: 0.973', 'jaccard: 0.817', 'J_q: 0.535']",36.771102146693714
12-a-flip-color,"['corr: 0.991', 'ems: 0.981', 'jaccard: 0.826', 'J_q: 0.508']",-90.69568737
12-b-flip-color,"['corr: 0.965', 'ems: 0.993', 'jaccard: 0.822', 'J_q: 0.725']",-90.69568737
12-a-rotated,"['corr: 0.991', 'ems: 0.981', 'jaccard: 0.826', 'J_q: 0.493']",-90.69568737
12-b-rotated,"['corr: 0.965', 'ems: 0.993', 'jaccard: 0.822', 'J_q: 0.722']",-90.69568737
12-a,"['corr: 0.991', 'ems: 0.981', 'jaccard: 0.826', 'J_q: 0.491']",-90.69568737
12-b,"['corr: 0.965', 'ems: 0.993', 'jaccard: 0.822', 'J_q: 0.707']",-90.69568737
11-a-flip-color,"['corr: 0.988', 'ems: 0.995', 'jaccard: 0.832', 'J_q: 0.543']",70.53567967513531
11-b-flip-color,"['corr: 0.973', 'ems: 0.978', 'jaccard: 0.852', 'J_q: 0.380']",70.53567967513531
11-a-rotated,"['corr: 0.988', 'ems: 0.995', 'jaccard: 0.832', 'J_q: 0.552']",70.53567967513531
11-b-rotated,"['corr: 0.973', 'ems: 0.978', 'jaccard: 0.852', 'J_q: 0.356']",70.53567967513531
11-a,"['corr: 0.988', 'ems: 0.995', 'jaccard: 0.832', 'J_q: 0.552']",70.53567967513531
11-b,"['corr: 0.973', 'ems: 0.978', 'jaccard: 0.852', 'J_q: 0.375']",70.53567967513531
10-a-flip-color,"['corr: 0.997', 'ems: 0.962', 'jaccard: 0.742', 'J_q: 0.224']",-129.6318561
10-b-flip-color,"['corr: 0.987', 'ems: 0.965', 'jaccard: 0.857', 'J_q: 0.398']",-129.6318561
10-a-rotated,"['corr: 0.997', 'ems: 0.962', 'jaccard: 0.742', 'J_q: 0.226']",-129.6318561
10-b-rotated,"['corr: 0.987', 'ems: 0.965', 'jaccard: 0.857', 'J_q: 0.410']",-129.6318561
10-a,"['corr: 0.997', 'ems: 0.962', 'jaccard: 0.742', 'J_q: 0.224']",-129.6318561
10-b,"['corr: 0.987', 'ems: 0.965', 'jaccard: 0.857', 'J_q: 0.408']",-129.6318561
